,Target,Date,Tweet Ago,Compound,Positive,Negative,Neutral,Text,Source
22,BBC,2018-03-23 17:33:03,23,0.0,0.0,0.0,1.0,"Tonight, @GaryLineker, @ThisisDavina and @OreOduba kick off the biggest ever night of @sportrelief! ??????… https://t.co/tgbpC76heP","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
23,BBC,2018-03-23 17:02:01,24,0.0,0.0,0.0,1.0,"Your week, as told by @louistheroux. ??
https://t.co/Ae6bDBpIBW","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
24,BBC,2018-03-23 16:27:45,25,0.0,0.0,0.0,1.0,"RT @BBCWales: A #DanceForParkinsons session with @ndcwales for @GetCreativeUK in #Cardiff this week 

Find out what’s happening on the fina…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
25,BBC,2018-03-23 16:00:12,26,0.7783,0.286,0.0,0.714,"Meet Australian maths teacher Eddie Woo, who has won fans worldwide with his high-energy lessons, posted on YouTube… https://t.co/vTfNDZzA3b","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
26,BBC,2018-03-23 14:33:40,27,-0.4479,0.0,0.172,0.828,"RT @BBCOne: No @andy_murray, this is not a dream. @GeriHalliwell really IS in your bedroom making you sing Spice Girls songs ?

@sportrelie…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
27,BBC,2018-03-23 14:03:08,28,0.5994,0.187,0.0,0.813,These beautiful photographs reveal how refugees in Tyneside have turned to the healing powers of gardening. ??… https://t.co/2gq0t9FnIR,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
28,BBC,2018-03-23 14:00:02,29,-0.4767,0.0,0.129,0.871,"How would you react if you woke up and found Michael McIntyre and Peppa Pig in your bedroom? 

Poor @AndyMurray…

S… https://t.co/7ZP0hUYeKr","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
29,BBC,2018-03-23 13:33:04,30,0.6114,0.2,0.0,0.8,Spring is here! ??? Make the most of seasonal ingredients with these delicious soup recipes. https://t.co/fXp7eJXoJc https://t.co/hA1b2bdSrd,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
30,BBC,2018-03-23 13:03:02,31,0.4939,0.259,0.0,0.741,"Want to get creative this weekend? Here's how to make a hooky rug. 
#MakeCraftBritain 
https://t.co/uqibyP09s7","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
31,BBC,2018-03-23 11:42:55,32,0.0,0.0,0.0,1.0,RT @BBCSport: He was one of English football's first black players and the British Army's first ever black officer to command white troops.…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
32,BBC,2018-03-23 11:42:51,33,-0.2006,0.107,0.139,0.754,RT @BBCRadio2: ? “I thought the script was really frightening and original.” Martin Freeman chats to @achrisevans about his creepy new film…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
33,BBC,2018-03-23 11:42:48,34,0.0,0.0,0.0,1.0,RT @BBCTwo: Our entire weekend plans. ?? #BigCatsAboutTheHouse https://t.co/vl0zUcCdmI,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
34,BBC,2018-03-23 11:42:43,35,0.3612,0.128,0.0,0.872,"RT @sportrelief: It looks like #TeamGryffindor are storming ahead in the #HogwartsLeague in the #SportRelief app. 

#TeamHufflepuff, #TeamS…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
35,BBC,2018-03-23 11:30:05,36,0.2648,0.103,0.0,0.897,???Some blueberry muffins sold by cafes and supermarkets contain more than the recommended daily intake of sugar fo… https://t.co/9bh6K8aMH2,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
36,BBC,2018-03-23 10:33:01,37,-0.6016,0.0,0.187,0.813,"Friday night is CELEBRITY FIGHT NIGHT! ??

Who'll be victorious? Tune in to #SportRelief to find out!

https://t.co/9ZhgNGmxOD","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
37,BBC,2018-03-23 10:03:03,38,0.8555,0.343,0.0,0.657,"Scrolling through headlines, the world can feel like a pretty dark place. So here are nine reasons to be happy. ? ?… https://t.co/KrNoB0qaqC","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
38,BBC,2018-03-23 09:30:03,39,0.765,0.417,0.0,0.583,"Would you want secret helpers like these to help you out in nerve-wracking situations? #TheSecretHelpers 
https://t.co/ua2X4vxKR3","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
39,BBC,2018-03-23 08:33:01,40,0.0,0.0,0.0,1.0,"Meet the first polar bear cub to be born in the UK in 25 years. ?
https://t.co/njq1r6eONE","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
40,BBC,2018-03-22 21:39:27,41,0.1511,0.15,0.0,0.85,"RT @BBCOne: All hail queen Kat! ?? 

#EastEnders @BBCEastenders https://t.co/PLmAc53L6t","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
41,BBC,2018-03-22 21:30:01,42,0.2732,0.116,0.0,0.884,"Istanbul's Blue Mosque looks spectacular. @wmarybeard looks at the art, meaning and significance of calligraphy the… https://t.co/Mv3voUkcvc","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
42,BBC,2018-03-22 21:20:05,43,0.0,0.0,0.0,1.0,? The artist reimagining Islamic calligraphy for the 21st Century: https://t.co/wgbVwZLDEa #Civilisations https://t.co/nxW6Sokjdn,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
43,BBC,2018-03-22 20:30:01,44,-0.6486,0.0,0.202,0.798,"In 1918, the very first signs of the Spanish Flu pandemic were kept under wraps. So how did the deadly illness get… https://t.co/zuZryXLihL","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
44,BBC,2018-03-22 19:04:04,45,0.0,0.0,0.0,1.0,Go behind-the-scenes at @TheBigCatSanct where expert Giles Clark is hand-rearing a jaguar cub. ?… https://t.co/0hDQP6X1wA,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
45,BBC,2018-03-22 18:30:09,46,0.0516,0.216,0.159,0.625,"Tai chi has been recommended to help people with the chronic pain condition fibromyalgia. 

https://t.co/uYDlKfWbt7 https://t.co/Y7P9ceP82j","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
46,BBC,2018-03-22 17:33:04,47,-0.25,0.0,0.083,0.917,"The cost of living alone, rather than living as a couple, is more than £1000 a year. ??

This is the price of being… https://t.co/udzI9xGci6","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
47,BBC,2018-03-22 17:03:54,48,0.0,0.0,0.0,1.0,.@ManUtd have applied to have a professional women's team. ?? https://t.co/rxzdRsDhUd https://t.co/meO65NRCtm,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
48,BBC,2018-03-22 17:03:05,49,0.128,0.113,0.092,0.795,"Worried about your impact on the planet? ??

This is how to make your next holiday more eco-friendly. ???

?… https://t.co/wCmDZJledV","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
49,BBC,2018-03-22 16:04:06,50,-0.4753,0.0,0.128,0.872,"Think twice before you throw your kitchen waste in the bin! Here's how to grow plants from kitchen scraps. ???

?… https://t.co/MMgrC8yseG","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
50,BBC,2018-03-22 15:00:43,51,0.4184,0.141,0.0,0.859,"RT @mixital: ??New #DoctorWho writing challenge!??
Write a story featuring Rory Williams! Share it with us here: https://t.co/zW42ZnvJnc

#…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
51,BBC,2018-03-22 15:00:01,52,-0.9168,0.0,0.385,0.615,"Could you name the disaster that killed the most people in the last 100 years?

Contagion! The BBC Four Pandemic |… https://t.co/10zHfD8PHT","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
52,BBC,2018-03-22 14:30:10,53,0.6705,0.306,0.1,0.594,"?Some musicians love doing them, others don’t.

Seven secretive musicians who like to avoid interviews:… https://t.co/7Rm55Ddynj","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
53,BBC,2018-03-22 13:53:48,54,0.4215,0.118,0.0,0.882,"RT @BBCEarth: Today is #WorldWaterDay. This teen has an ingenious way to test the safety of water around the world 
@BBC_Future https://t.c…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
54,BBC,2018-03-22 13:33:04,55,-0.4767,0.0,0.129,0.871,"Has @chrishughes_22 read any of his own book? ??

Here's what he confessed when he took on @BBCR1's fake lie detect… https://t.co/tVaKesbKQ1","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
55,BBC,2018-03-22 13:14:13,56,0.0,0.0,0.0,1.0,Secret Universe: The Hidden Life of the Cell is on @BBCFOUR tonight at 8pm. ? https://t.co/PVf4thZOb3,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
56,BBC,2018-03-22 13:02:00,57,-0.7184,0.0,0.24,0.76,A battle is raging in your body right now. This is how the TRIM 21 protein defends your cells from viruses. https://t.co/XUAPbRS4j5,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
57,BBC,2018-03-22 12:30:10,58,-0.4404,0.0,0.132,0.868,"??Footloose, Fleetwood Mac's Rumours and Le Freak are among the classic records about to enter the US National Reco… https://t.co/gDLNOmNLhY","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
58,BBC,2018-03-22 11:30:17,59,0.5423,0.189,0.0,0.811,"Meet the five artists who have been shortlisted for the £30,000 Hepworth sculpture award. https://t.co/1UGe2zQlDT https://t.co/MwWxUZWAhs","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
59,BBC,2018-03-22 10:58:34,60,0.0,0.0,0.0,1.0,"RT @bbcwritersroom: Check out an interview with the #writer of #TheAssassinationofGianniVersace @tomrobsmith on our blog
https://t.co/m5rty…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
60,BBC,2018-03-22 10:49:54,61,-0.5994,0.0,0.245,0.755,RT @bbcthree: 'I was the only female in a violent all-male gang' https://t.co/NjF720J71M https://t.co/k7T0PqyuiG,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
61,BBC,2018-03-22 10:30:09,62,-0.296,0.0,0.216,0.784,?Can social media stop you getting a job? https://t.co/M9uTa8vMHA https://t.co/LwXJCGgW0b,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
62,BBC,2018-03-22 09:54:21,63,0.0,0.0,0.0,1.0,RT @bbcpress: 50 classic cookery shows served up on @BBCiPlayer this Easter: https://t.co/RbyjFq6Dsj https://t.co/Hvt1m1dhpU,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
63,BBC,2018-03-22 09:33:03,64,0.0,0.0,0.0,1.0,"Come on, who doesn't say ""xylophone"" on a daily basis? ??@daraobriain #LiveAtTheApollo

https://t.co/5k1yKuwpzA","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
64,BBC,2018-03-22 08:33:02,65,-0.3612,0.0,0.185,0.815,"Tantrums are inevitable... ??This is how you raise a baby jaguar. #BigCatsAboutTheHouse

https://t.co/4mBf6xmvOr","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
65,BBC,2018-03-21 20:56:41,66,0.0,0.0,0.0,1.0,"RT @BBCSport: John Bishop’s on a one man mission to World Cup victory for @SportRelief!

Keep an eye out here for Geoff Hurst's 'dab' ???…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
66,BBC,2018-03-21 20:51:06,67,-0.1154,0.0,0.079,0.921,"""I felt vulnerable but now I feel empowered.”

25-year-old rapper Paigey Cakey had a hair transplant after her hair… https://t.co/fGoueTbzyQ","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
67,BBC,2018-03-21 20:03:04,68,0.0,0.0,0.0,1.0,"Watch as @ZoeTheBall attempts to cycle over 300 miles, to raise awareness about mental health and raise money for… https://t.co/qGcCT8wLSt","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
68,BBC,2018-03-21 19:03:04,69,-0.5994,0.0,0.163,0.837,"Who were my parents - and why was I left on a hillside to die? 

After a life full of questions, Anthea finally has… https://t.co/5fEma0vgfw","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
69,BBC,2018-03-21 17:03:04,70,0.4249,0.135,0.0,0.865,"??You really can't go wrong with a recipe from Mary Berry. 

???? Here are some of @BBCFood's favourites. ?… https://t.co/svyK73KV0o","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
70,BBC,2018-03-21 16:30:07,71,0.4939,0.132,0.0,0.868,"Is it too late to save the oceans from plastic? ?

Go behind the scenes of the documentary Sir David Attenborough c… https://t.co/SjXbB6OZAN","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
71,BBC,2018-03-21 16:29:54,72,0.4019,0.114,0.0,0.886,"RT @bbcmusic: Anne-Marie, Kylie Minogue, Ladysmith Black Mambazo and more have been added to the lineup for The Queen's Birthday Party conc…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
72,BBC,2018-03-21 15:59:03,73,0.0,0.0,0.0,1.0,"Fictional locations such as Narnia, Gotham City and Neverland have mysteriously appeared on road signs in Oxfordshi… https://t.co/3NzQqfNNux","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
73,BBC,2018-03-21 14:03:03,74,-0.0516,0.0,0.054,0.946,"? Did you know that @DBtodomundo was asked to leave his school choir? 

? Here are 11 things we learned from the Ta… https://t.co/tusEZQgIbG","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
74,BBC,2018-03-21 13:30:02,75,0.0,0.0,0.0,1.0,What did students think when the BBC transported them to places they never thought possible? #ForReal… https://t.co/KFgZaE3PXi,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
75,BBC,2018-03-21 13:03:01,76,0.0,0.0,0.0,1.0,"Almost 1,000 sausage dogs have taken part in a dachshund dash! ?????

https://t.co/SMYaziJUrq","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
76,BBC,2018-03-21 12:33:01,77,0.1779,0.091,0.0,0.909,"Ruben is a star of @cbbc's #TheDumpingGround and has Down's Syndrome.

Growing up with a disability could have been… https://t.co/lNo1Pa2wTu","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
77,BBC,2018-03-21 11:46:05,78,0.8271,0.339,0.0,0.661,The annual Marmalade Festival held at the weekend is one of the UK's many festivals dedicated solely to a particula… https://t.co/I75Ufx17Gq,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
78,BBC,2018-03-21 11:03:01,79,0.0,0.0,0.0,1.0,"Spring has officially sprung! ?????

https://t.co/fAZSeVV8Oo","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
79,BBC,2018-03-21 10:03:03,80,0.4003,0.144,0.0,0.856,"""I've just had a haircut so I now look ninety-nine-and-a-half!"" ?????

A 100-year-old called Sadie has shared the s… https://t.co/X9QbWw0Ey0","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
80,BBC,2018-03-21 09:58:25,81,0.0,0.0,0.0,1.0,"RT @BBC_Teach: On #WorldPoetryDay let us know which your class’ favourite poem and/or poet?

Is it one of these? ?? https://t.co/qtn7IPXDFH…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
81,BBC,2018-03-21 09:58:01,82,0.34,0.142,0.082,0.776,RT @bbcthree: This inspirational teacher overcame his stammer and is now showing his students how to do the same. https://t.co/JMAWR0conA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
82,BBC,2018-03-21 09:57:49,83,0.7845,0.434,0.0,0.566,RT @bbcthree: This Country winning their 3rd award ??? #RTSAwards https://t.co/oBdg1KruHK,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
83,BBC,2018-03-21 09:57:28,84,0.5994,0.163,0.0,0.837,"RT @bbcpress: Four new dramas announced for @BBCOne from writers Marnie Dickens (#Thirteen), Levi David Addai (#Damilola, Our Loved Boy), B…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
84,BBC,2018-03-21 09:57:09,85,0.4574,0.115,0.0,0.885,RT @BBCOne: #EastEnders is back on Thursday with a special double bill at 7.30pm and 9pm on @BBCOne! And you know what that means… https://…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
85,BBC,2018-03-21 09:33:01,86,0.7125,0.291,0.0,0.709,"??? @AlanCarr responds to those weather forecasters that LOVE a bit of drama. 
https://t.co/T9gpTdqDt3","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
86,BBC,2018-03-21 09:03:05,87,0.0,0.0,0.0,1.0,"??? Did you know that the head of a sunflower is built of up to 2000 flowers? 

?? https://t.co/aIWLu7AQES https://t.co/gNmcaG1ri5","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
87,BBC,2018-03-21 08:02:03,88,0.9336,0.562,0.0,0.438,"Wow! 19-year-old Justice Osei from Ghana has an amazing talent for imitating animals. ???????????
https://t.co/UZqeSyzsQB","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
88,BBC,2018-03-20 19:48:04,89,0.0,0.0,0.0,1.0,"This #WorldFrogDay, why not try making an origami jumping frog with @BBCTaster's step-by-step tutorial? ?… https://t.co/jjMqUND883","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
89,BBC,2018-03-20 19:03:04,90,0.0,0.0,0.0,1.0,"Michael Portillo travels across India guided by Bradshaw's 1913 Handbook of Indian, Foreign and Colonial Travel. ??… https://t.co/4WG0esDk8m","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
90,BBC,2018-03-20 18:33:01,91,-0.3859,0.071,0.16,0.768,"Can you watch this without laughing? ?? You'll want your sound on for this! #InternationalDayOfHappiness

https://t.co/vA5yr0PCC5","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
91,BBC,2018-03-20 17:33:03,92,0.34,0.16,0.102,0.738,"Professor Stephen Hawking's funeral will take place in Cambridge - ""the city that he loved so much and which loved… https://t.co/LHh0Nfeh6U","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
92,BBC,2018-03-20 17:03:01,93,0.0,0.0,0.0,1.0,"Un-bee-lievable! ?? Meet the woman who kept a bee as a pet. 
https://t.co/5zRxWpSGOH","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
93,BBC,2018-03-20 16:05:04,94,0.0,0.0,0.0,1.0,"Arise, Sir Ringo! ??@thebeatles drummer @ringostarrmusic has been knighted for his services to music.… https://t.co/OQLixgO2Zi","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
94,BBC,2018-03-20 15:33:03,95,0.0,0.0,0.0,1.0,The first polar bear cub to be born in the UK for 25 years has emerged from his den at Scotland's Highland Wildlife… https://t.co/WZLoy2mz7y,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
95,BBC,2018-03-20 15:03:02,96,0.4084,0.132,0.0,0.868,"'Everybody has a voice'. ????

Rugby legends JPR Williams and JJ Williams visit @FMNChorus and the BBC National Cho… https://t.co/myuIpumZnL","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
96,BBC,2018-03-20 14:24:06,97,0.6369,0.259,0.0,0.741,?The best pictures from the 2018 Paralympic Winter Games in Pyeongchang: https://t.co/w8dYDPHkAw https://t.co/0SVnupv9rB,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
97,BBC,2018-03-20 14:03:04,98,0.0,0.0,0.0,1.0,Prince Harry and Meghan Markle have chosen an organic lemon and elderflower cake for their wedding in May. ???… https://t.co/H7dWlxmYcR,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
98,BBC,2018-03-20 13:16:25,99,0.2235,0.119,0.0,0.881,"RT @BBCWalesNews: ???Cinema makes maths class an offer they can't refuse
Full story: https://t.co/Uwg6NTRFVF https://t.co/hr4dglHIu3","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
99,BBC,2018-03-20 13:02:01,100,-0.4023,0.0,0.162,0.838,"People always have an opinion. ?? Here's why @AlanCarr doesn't trust TripAdvisor reviews. #LiveAtTheApollo 

https://t.co/PvF6K9hYMI","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
